Area,Sex,Yr,Age,F
1,1,1990,13,0.00959675000000001
2,1,1990,13,0.00755900000000001
1,2,1990,13,0.0235465
2,2,1990,13,0.0129480000000001
1,1,1991,13,0.00853075000000003
2,1,1991,13,0.00656225000000002
1,2,1991,13,0.0221055000000001
2,2,1991,13,0.01030325
1,1,1992,13,0.0110915
2,1,1992,13,0.00970675000000001
1,2,1992,13,0.0281555000000001
2,2,1992,13,0.0127835000000001
1,1,1993,13,0.00875075
2,1,1993,13,0.00399825000000001
1,2,1993,13,0.0219962500000001
2,2,1993,13,0.00847300000000006
1,1,1994,13,0.00944325000000001
2,1,1994,13,0.00703324999999999
1,2,1994,13,0.02601725
2,2,1994,13,0.0144197500000001
1,1,1995,13,0.00673850000000001
2,1,1995,13,0.00487975000000002
1,2,1995,13,0.01875225
2,2,1995,13,0.00993450000000001
1,1,1996,13,0.012293
2,1,1996,13,0.00589800000000001
1,2,1996,13,0.03404775
2,2,1996,13,0.012224
1,1,1997,13,0.02347875
2,1,1997,13,0.00623500000000002
1,2,1997,13,0.06245975
2,2,1997,13,0.012278
1,1,1998,13,0.026121
2,1,1998,13,0.011457
1,2,1998,13,0.0683345
2,2,1998,13,0.0228280000000001
1,1,1999,13,0.02836525
2,1,1999,13,0.0140705
1,2,1999,13,0.0733565
2,2,1999,13,0.027181
1,1,2000,13,0.02848425
2,1,2000,13,0.018295
1,2,2000,13,0.07417275
2,2,2000,13,0.03486375
1,1,2001,13,0.02820675
2,1,2001,13,0.02952875
1,2,2001,13,0.07331275
2,2,2001,13,0.0510282500000001
1,1,2002,13,0.029984
2,1,2002,13,0.032137
1,2,2002,13,0.07948225
2,2,2002,13,0.05763125
1,1,2003,13,0.0248925
2,1,2003,13,0.04704
1,2,2003,13,0.0681655
2,2,2003,13,0.06833875
1,1,2004,13,0.023116
2,1,2004,13,0.051275
1,2,2004,13,0.0631405
2,2,2004,13,0.08380475
1,1,2005,13,0.02046725
2,1,2005,13,0.04377975
1,2,2005,13,0.0564742500000001
2,2,2005,13,0.06885
1,1,2006,13,0.013567
2,1,2006,13,0.0692335
1,2,2006,13,0.0374887500000001
2,2,2006,13,0.10956475
1,1,2007,13,0.012753
2,1,2007,13,0.08319625
1,2,2007,13,0.035169
2,2,2007,13,0.123344
1,1,2008,13,0.01319425
2,1,2008,13,0.05590325
1,2,2008,13,0.0369430000000001
2,2,2008,13,0.09505825
1,1,2009,13,0.01209225
2,1,2009,13,0.04071325
1,2,2009,13,0.03474975
2,2,2009,13,0.07390525
1,1,2010,13,0.0126355
2,1,2010,13,0.0343455
1,2,2010,13,0.03577675
2,2,2010,13,0.05982975
1,1,2011,13,0.01332325
2,1,2011,13,0.04328425
1,2,2011,13,0.0384727500000001
2,2,2011,13,0.076901
1,1,2012,13,0.01427975
2,1,2012,13,0.04776
1,2,2012,13,0.0399457500000001
2,2,2012,13,0.0819595
1,1,2013,13,0.013424
2,1,2013,13,0.05027775
1,2,2013,13,0.0370365
2,2,2013,13,0.0819510000000001
1,1,2014,13,0.01429925
2,1,2014,13,0.05099075
1,2,2014,13,0.03872975
2,2,2014,13,0.0902155
1,1,2015,13,0.01431875
2,1,2015,13,0.06269975
1,2,2015,13,0.03750475
2,2,2015,13,0.1026755
1,1,2016,13,0.01661075
2,1,2016,13,0.047111
1,2,2016,13,0.041737
2,2,2016,13,0.08332575
1,1,2017,13,0.0179445
2,1,2017,13,0.04039675
1,2,2017,13,0.0473750000000001
2,2,2017,13,0.08177375
1,1,2018,13,0.01784375
2,1,2018,13,0.053705
1,2,2018,13,0.04836975
2,2,2018,13,0.103112
1,1,2019,13,0.01947225
2,1,2019,13,0.044949
1,2,2019,13,0.052983
2,2,2019,13,0.0811810000000001
1,1,2020,13,0.01239975
2,1,2020,13,0.0479165
1,2,2020,13,0.0316000000000001
2,2,2020,13,0.07810275
1,1,2021,13,0.013017
2,1,2021,13,0.04475975
1,2,2021,13,0.03180825
2,2,2021,13,0.0736355
1,1,2022,13,0.013418
2,1,2022,13,0.040652
1,2,2022,13,0.037098
2,2,2022,13,0.0702295000000001
1,1,2023,13,0.0213295
2,1,2023,13,0.04532075
1,2,2023,13,0.05737825
2,2,2023,13,0.073901
1,1,1952,14,7.29999999999897e-05
2,1,1952,14,7.49999999993811e-07
1,2,1952,14,0.000287750000000031
2,2,1952,14,2.50000000001638e-06
1,1,1953,14,0.000230249999999987
2,1,1953,14,3.49999999998962e-06
1,2,1953,14,0.000805250000000035
2,2,1953,14,1.27500000000613e-05
1,1,1954,14,0.00126349999999997
2,1,1954,14,0.000664999999999971
1,2,1954,14,0.00410600000000005
2,2,1954,14,0.00100074999999999
1,1,1955,14,0.00069874999999997
2,1,1955,14,0.00242499999999998
1,2,1955,14,0.00217850000000003
2,2,1955,14,0.00384875000000001
1,1,1956,14,0.000404749999999982
2,1,1956,14,0.00227749999999999
1,2,1956,14,0.00133400000000006
2,2,1956,14,0.00339225000000004
1,1,1957,14,0.000633499999999981
2,1,1957,14,0.00074225
1,2,1957,14,0.00217000000000006
2,2,1957,14,0.00145675000000006
1,1,1958,14,0.00140849999999998
2,1,1958,14,0.0017335
1,2,1958,14,0.00452700000000006
2,2,1958,14,0.00287900000000008
1,1,1959,14,0.000976749999999971
2,1,1959,14,0.00275375
1,2,1959,14,0.00306050000000002
2,2,1959,14,0.00461850000000003
1,1,1960,14,0.000856499999999982
2,1,1960,14,0.00194424999999998
1,2,1960,14,0.00271525000000006
2,2,1960,14,0.00298625000000002
1,1,1961,14,0.00111424999999998
2,1,1961,14,0.00337425
1,2,1961,14,0.00381300000000007
2,2,1961,14,0.00526525
1,1,1962,14,0.00321399999999999
2,1,1962,14,0.00190674999999998
1,2,1962,14,0.00838875000000006
2,2,1962,14,0.00226300000000001
1,1,1963,14,0.00332024999999997
2,1,1963,14,0.00232449999999998
1,2,1963,14,0.00949500000000003
2,2,1963,14,0.00443300000000002
1,1,1964,14,0.00222049999999999
2,1,1964,14,0.00104199999999999
1,2,1964,14,0.00595100000000004
2,2,1964,14,0.00181825000000002
1,1,1965,14,0.00579924999999998
2,1,1965,14,0.00155374999999999
1,2,1965,14,0.01734175
2,2,1965,14,0.00267300000000004
1,1,1966,14,0.00546874999999997
2,1,1966,14,0.00350399999999998
1,2,1966,14,0.01674675
2,2,1966,14,0.00529675000000007
1,1,1967,14,0.00390174999999998
2,1,1967,14,0.00460774999999997
1,2,1967,14,0.0113095
2,2,1967,14,0.00613825000000001
1,1,1968,14,0.00800524999999999
2,1,1968,14,0.00435975
1,2,1968,14,0.0242525
2,2,1968,14,0.0044535
1,1,1969,14,0.00521674999999999
2,1,1969,14,0.00883075
1,2,1969,14,0.0154045
2,2,1969,14,0.00727275000000005
1,1,1970,14,0.00559624999999997
2,1,1970,14,0.00487199999999999
1,2,1970,14,0.016593
2,2,1970,14,0.00457300000000005
1,1,1971,14,0.00901374999999999
2,1,1971,14,0.01765125
1,2,1971,14,0.02649325
2,2,1971,14,0.0115865000000001
1,1,1972,14,0.0101045
2,1,1972,14,0.015537
1,2,1972,14,0.02729025
2,2,1972,14,0.01111175
1,1,1973,14,0.0083905
2,1,1973,14,0.00358675
1,2,1973,14,0.0255427500000001
2,2,1973,14,0.00461625000000004
1,1,1974,14,0.0106145
