Fleet,Length,Sel
10,48.5,0.0397683
11,48.5,0.000241964
12,48.5,0.000302161
13,48.5,7.98635e-05
14,48.5,0.000302161
15,48.5,0.0397683
16,48.5,0.000241964
17,48.5,0.000302161
18,48.5,0.0397683
19,48.5,0.000241964
20,48.5,0.000912625
21,48.5,7.98635e-05
1,49.5,0.0424838
2,49.5,0.0011024
3,49.5,0.00685372
4,49.5,0.00073129
5,49.5,0.0011024
6,49.5,0.00685372
7,49.5,0.0011024
8,49.5,0.0424838
9,49.5,0.0011024
10,49.5,0.0424838
11,49.5,0.000279616
12,49.5,0.000316277
13,49.5,0.00010173
14,49.5,0.000316277
15,49.5,0.0424838
16,49.5,0.000279616
17,49.5,0.000316277
18,49.5,0.0424838
19,49.5,0.000279616
20,49.5,0.0011024
21,49.5,0.00010173
1,50.5,0.0453537
2,50.5,0.00132819
3,50.5,0.00727278
4,50.5,0.000863533
5,50.5,0.00132819
6,50.5,0.00727278
7,50.5,0.00132819
8,50.5,0.0453537
9,50.5,0.00132819
10,50.5,0.0453537
11,50.5,0.000322717
12,50.5,0.000331052
13,50.5,0.000129176
14,50.5,0.000331052
15,50.5,0.0453537
16,50.5,0.000322717
17,50.5,0.000331052
18,50.5,0.0453537
19,50.5,0.000322717
20,50.5,0.00132819
21,50.5,0.000129176
1,51.5,0.0483843
2,51.5,0.0015961
3,51.5,0.00771726
4,51.5,0.00101772
5,51.5,0.0015961
6,51.5,0.00771726
7,51.5,0.0015961
8,51.5,0.0483843
9,51.5,0.0015961
10,51.5,0.0483843
11,51.5,0.000371991
12,51.5,0.000346518
13,51.5,0.000163512
14,51.5,0.000346518
15,51.5,0.0483843
16,51.5,0.000371991
17,51.5,0.000346518
18,51.5,0.0483843
19,51.5,0.000371991
20,51.5,0.0015961
21,51.5,0.000163512
1,52.5,0.0515823
2,52.5,0.0019131
3,52.5,0.00818868
4,52.5,0.00119711
5,52.5,0.0019131
6,52.5,0.00818868
7,52.5,0.0019131
8,52.5,0.0515823
9,52.5,0.0019131
10,52.5,0.0515823
11,52.5,0.000428245
12,52.5,0.000362705
13,52.5,0.000206326
14,52.5,0.000362705
15,52.5,0.0515823
16,52.5,0.000428245
17,52.5,0.000362705
18,52.5,0.0515823
19,52.5,0.000428245
20,52.5,0.0019131
21,52.5,0.000206326
1,53.5,0.054954
2,53.5,0.00228714
3,53.5,0.00868865
4,53.5,0.00140541
5,53.5,0.00228714
6,53.5,0.00868865
7,53.5,0.00228714
8,53.5,0.054954
9,53.5,0.00228714
10,53.5,0.054954
11,53.5,0.000492381
12,53.5,0.000379649
13,53.5,0.000259534
14,53.5,0.000379649
15,53.5,0.054954
16,53.5,0.000492381
17,53.5,0.000379649
18,53.5,0.054954
19,53.5,0.000492381
20,53.5,0.00228714
21,53.5,0.000259534
1,54.5,0.0585061
2,54.5,0.00272726
3,54.5,0.00921886
4,54.5,0.00164676
5,54.5,0.00272726
6,54.5,0.00921886
7,54.5,0.00272726
8,54.5,0.0585061
9,54.5,0.00272726
10,54.5,0.0585061
11,54.5,0.000565406
12,54.5,0.000397384
13,54.5,0.000325437
14,54.5,0.000397384
15,54.5,0.0585061
16,54.5,0.000565406
17,54.5,0.000397384
18,54.5,0.0585061
19,54.5,0.000565406
20,54.5,0.00272726
21,54.5,0.000325437
1,55.5,0.0622452
2,55.5,0.00324367
3,55.5,0.00978111
4,55.5,0.00192582
5,55.5,0.00324367
6,55.5,0.00978111
7,55.5,0.00324367
8,55.5,0.0622452
9,55.5,0.00324367
10,55.5,0.0622452
11,55.5,0.00064844
12,55.5,0.000415947
13,55.5,0.000406795
14,55.5,0.000415947
15,55.5,0.0622452
16,55.5,0.00064844
17,55.5,0.000415947
18,55.5,0.0622452
19,55.5,0.00064844
20,55.5,0.00324367
21,55.5,0.000406795
1,56.5,0.0661781
2,56.5,0.00384791
3,56.5,0.0103773
4,56.5,0.00224782
5,56.5,0.00384791
6,56.5,0.0103773
7,56.5,0.00384791
8,56.5,0.0661781
9,56.5,0.00384791
10,56.5,0.0661781
11,56.5,0.000742726
12,56.5,0.000435376
13,56.5,0.000506896
14,56.5,0.000435376
15,56.5,0.0661781
16,56.5,0.000742726
17,56.5,0.000435376
18,56.5,0.0661781
19,56.5,0.000742726
20,56.5,0.00384791
21,56.5,0.000506896
1,57.5,0.0703114
2,57.5,0.00455292
3,57.5,0.0110094
4,57.5,0.00261859
5,57.5,0.00455292
6,57.5,0.0110094
7,57.5,0.00455292
8,57.5,0.0703114
9,57.5,0.00455292
10,57.5,0.0703114
11,57.5,0.000849645
12,57.5,0.000455713
13,57.5,0.000629646
14,57.5,0.000455713
15,57.5,0.0703114
16,57.5,0.000849645
17,57.5,0.000455713
18,57.5,0.0703114
19,57.5,0.000849645
20,57.5,0.00455292
21,57.5,0.000629646
1,58.5,0.0746518
2,58.5,0.0053732
3,58.5,0.0116796
4,58.5,0.00304461
5,58.5,0.0053732
6,58.5,0.0116796
7,58.5,0.0053732
8,58.5,0.0746518
9,58.5,0.0053732
10,58.5,0.0746518
11,58.5,0.000970724
12,58.5,0.000476999
13,58.5,0.000779667
14,58.5,0.000476999
15,58.5,0.0746518
16,58.5,0.000970724
17,58.5,0.000476999
18,58.5,0.0746518
19,58.5,0.000970724
20,58.5,0.0053732
21,58.5,0.000779667
1,59.5,0.0792059
2,59.5,0.0063249
3,59.5,0.01239
4,59.5,0.0035331
5,59.5,0.0063249
6,59.5,0.01239
7,59.5,0.0063249
8,59.5,0.0792059
9,59.5,0.0063249
10,59.5,0.0792059
11,59.5,0.00110765
12,59.5,0.00049928
13,59.5,0.000962401
14,59.5,0.00049928
15,59.5,0.0792059
16,59.5,0.00110765
17,59.5,0.00049928
18,59.5,0.0792059
19,59.5,0.00110765
20,59.5,0.0063249
21,59.5,0.000962401
1,60.5,0.0839805
2,60.5,0.00742595
3,60.5,0.0131431
4,60.5,0.00409203
5,60.5,0.00742595
6,60.5,0.0131431
7,60.5,0.00742595
8,60.5,0.0839805
9,60.5,0.00742595
10,60.5,0.0839805
11,60.5,0.0012623
12,60.5,0.0005226
13,60.5,0.00118423
14,60.5,0.0005226
15,60.5,0.0839805
16,60.5,0.0012623
