Area,Sex,Yr,Age,B
1,2,1982,2,2010.86
1,2,1983,2,2004.64
1,2,1984,2,2026.83
1,2,1985,2,1998.97
1,2,1986,2,2175.32
1,2,1987,2,1979.13
1,2,1988,2,1868.44
1,2,1989,2,2022.86
1,2,1990,2,2191.48
1,2,1991,2,2368.95
1,2,1992,2,3552.64
1,2,1993,2,2023.74
1,2,1994,2,2608.33
1,2,1995,2,2354.51
1,2,1996,2,2577.16
1,2,1997,2,1638.07
1,2,1998,2,1172.94
1,2,1999,2,1983.4
1,2,2000,2,2332.53
1,2,2001,2,933.66
1,2,2002,2,1368.4
1,2,2003,2,2423.66
1,2,2004,2,1358.13
1,2,2005,2,1770.57
1,2,2006,2,2069.54
1,2,2007,2,2342.02
1,2,2008,2,3061.62
1,2,2009,2,1408.44
1,2,2010,2,3037.05
1,2,2011,2,2873.69
1,2,2012,2,2668.53
1,2,2013,2,1915.91
1,2,2014,2,2229.69
1,2,2015,2,1852.8
1,2,2016,2,710.939
1,2,2017,2,1521.72
1,2,2018,2,826.346
1,2,2019,2,1341.92
1,2,2020,2,1378.94
1,2,2021,2,2761.86
1,2,2022,2,1699.74
1,2,2023,2,977.317
2,1,1952,2,4052.18
2,1,1953,2,4082.74
2,1,1954,2,4082.69
2,1,1955,2,4081.75
2,1,1956,2,4078.09
2,1,1957,2,4077.86
2,1,1958,2,4078.19
2,1,1959,2,4076.15
2,1,1960,2,4074.19
2,1,1961,2,4076.09
2,1,1962,2,4072.25
2,1,1963,2,4073.64
2,1,1964,2,4068.4
2,1,1965,2,4072.41
2,1,1966,2,4071.01
2,1,1967,2,4068.22
2,1,1968,2,4065.67
2,1,1969,2,4067.22
2,1,1970,2,4067.11
2,1,1971,2,4040.38
2,1,1972,2,4031.48
2,1,1973,2,4022.05
2,1,1974,2,4012.03
2,1,1975,2,3995.6
2,1,1976,2,3976.04
2,1,1977,2,3955.15
2,1,1978,2,3941.54
2,1,1979,2,3918.9
2,1,1980,2,3885.17
2,1,1981,2,3862.72
2,1,1982,2,3837.73
2,1,1983,2,3834.38
2,1,1984,2,3851.36
2,1,1985,2,3805.77
2,1,1986,2,4152.63
2,1,1987,2,3761.73
2,1,1988,2,3550.78
2,1,1989,2,3847.42
2,1,1990,2,4173.61
2,1,1991,2,4497.38
2,1,1992,2,6741.71
2,1,1993,2,3844.25
2,1,1994,2,4935.41
2,1,1995,2,4455.36
2,1,1996,2,4863.12
2,1,1997,2,3120.23
2,1,1998,2,2276.44
2,1,1999,2,3839.39
2,1,2000,2,4520.03
2,1,2001,2,1803.35
2,1,2002,2,2630.92
2,1,2003,2,4629.38
2,1,2004,2,2578.05
2,1,2005,2,3323.75
2,1,2006,2,3913.62
2,1,2007,2,4322.74
2,1,2008,2,5655.53
2,1,2009,2,2606.9
2,1,2010,2,5609.59
2,1,2011,2,5367.37
2,1,2012,2,4963.96
2,1,2013,2,3554.43
2,1,2014,2,4121.88
2,1,2015,2,3388.64
2,1,2016,2,1293.23
2,1,2017,2,2781.3
2,1,2018,2,1513.88
2,1,2019,2,2442.61
2,1,2020,2,2546.05
2,1,2021,2,5101.3
2,1,2022,2,3148.17
2,1,2023,2,1813.93
2,2,1952,2,4947.15
2,2,1953,2,5017.6
2,2,1954,2,5017.52
2,2,1955,2,5015.84
2,2,1956,2,5009.97
2,2,1957,2,5009.66
2,2,1958,2,5010.88
2,2,1959,2,5007.71
2,2,1960,2,5004.5
2,2,1961,2,5007.78
2,2,1962,2,5001.95
2,2,1963,2,5004.82
2,2,1964,2,4997.11
2,2,1965,2,5003.31
2,2,1966,2,5001.42
2,2,1967,2,4996.84
2,2,1968,2,4993.5
2,2,1969,2,4996.14
2,2,1970,2,4995.91
2,2,1971,2,4963.73
2,2,1972,2,4951.8
2,2,1973,2,4939.82
2,2,1974,2,4928.71
2,2,1975,2,4907.68
2,2,1976,2,4883.07
2,2,1977,2,4855.48
2,2,1978,2,4840.72
2,2,1979,2,4813.74
2,2,1980,2,4769.47
2,2,1981,2,4741.25
2,2,1982,2,4709.62
2,2,1983,2,4706.13
2,2,1984,2,4729.21
2,2,1985,2,4672.69
2,2,1986,2,5096.97
2,2,1987,2,4616.27
2,2,1988,2,4357.67
2,2,1989,2,4717.71
2,2,1990,2,5120.22
2,2,1991,2,5517.85
2,2,1992,2,8274.09
2,2,1993,2,4717.62
2,2,1994,2,6057.05
2,2,1995,2,5464.41
2,2,1996,2,5966.76
2,2,1997,2,3827.28
2,2,1998,2,2792.46
2,2,1999,2,4702.6
2,2,2000,2,5530.32
2,2,2001,2,2204.56
2,2,2002,2,3210.25
2,2,2003,2,5641.89
2,2,2004,2,3139.66
2,2,2005,2,4040.2
2,2,2006,2,4767.71
2,2,2007,2,5245.19
2,2,2008,2,6860.05
2,2,2009,2,3168.94
2,2,2010,2,6823.57
2,2,2011,2,6540.34
2,2,2012,2,6037.63
2,2,2013,2,4320.1
2,2,2014,2,5010.36
2,2,2015,2,4111.79
2,2,2016,2,1567.09
2,2,2017,2,3374.62
2,2,2018,2,1836.44
2,2,2019,2,2955.72
2,2,2020,2,3090.35
2,2,2021,2,6206.13
2,2,2022,2,3832.71
2,2,2023,2,2208.65
1,1,1952,3,2560.85
1,1,1953,3,2574.32
1,1,1954,3,2572.26
1,1,1955,3,2562.08
1,1,1956,3,2562.23
1,1,1957,3,2566.86
1,1,1958,3,2565.31
1,1,1959,3,2556.97
1,1,1960,3,2557.06
1,1,1961,3,2560.32
1,1,1962,3,2556.13
1,1,1963,3,2544.1
1,1,1964,3,2535.41
1,1,1965,3,2542.35
1,1,1966,3,2518.64
1,1,1967,3,2503.67
1,1,1968,3,2517.09
1,1,1969,3,2493.29
1,1,1970,3,2498.17
1,1,1971,3,2505.51
1,1,1972,3,2461.67
1,1,1973,3,2446.41
1,1,1974,3,2444.09
1,1,1975,3,2427.12
1,1,1976,3,2445.99
1,1,1977,3,2428.71
1,1,1978,3,2451.33
1,1,1979,3,2450.1
1,1,1980,3,2414.86
1,1,1981,3,2378.92
1,1,1982,3,2348.57
1,1,1983,3,2327.88
1,1,1984,3,2344.49
1,1,1985,3,2357.66
1,1,1986,3,2312.83
1,1,1987,3,2534.24
1,1,1988,3,2302.08
1,1,1989,3,2154.58
1,1,1990,3,2340.33
1,1,1991,3,2552.02
1,1,1992,3,2760.47
1,1,1993,3,4118.85
1,1,1994,3,2360.15
1,1,1995,3,3024.49
1,1,1996,3,2750.84
1,1,1997,3,2964.84
1,1,1998,3,1841.75
1,1,1999,3,1319.26
1,1,2000,3,2219.58
1,1,2001,3,2610.1
1,1,2002,3,1043.59
1,1,2003,3,1521.26
1,1,2004,3,2719.8
1,1,2005,3,1527.67
1,1,2006,3,2001.59
1,1,2007,3,2378.41
1,1,2008,3,2683.89
1,1,2009,3,3499.27
1,1,2010,3,1612.3
1,1,2011,3,3473.13
1,1,2012,3,3268.04
1,1,2013,3,3038.01
1,1,2014,3,2187.96
1,1,2015,3,2544.5
1,1,2016,3,2113.06
1,1,2017,3,809.221
1,1,2018,3,1722.86
1,1,2019,3,933.065
1,1,2020,3,1513.4
1,1,2021,3,1591.76
1,1,2022,3,3179.57
1,1,2023,3,1943.11
1,2,1952,3,2839.46
1,2,1953,3,2862.71
1,2,1954,3,2860.22
1,2,1955,3,2848.48
1,2,1956,3,2847.67
1,2,1957,3,2852.93
1,2,1958,3,2851.8
1,2,1959,3,2842.12
1,2,1960,3,2841.31
1,2,1961,3,2845.29
1,2,1962,3,2840.81
1,2,1963,3,2826.37
1,2,1964,3,2815.59
1,2,1965,3,2822.86
1,2,1966,3,2796.92
1,2,1967,3,2776.87
1,2,1968,3,2791.38
1,2,1969,3,2765.95
1,2,1970,3,2768.15
1,2,1971,3,2778.67
1,2,1972,3,2729.51
1,2,1973,3,2708.72
1,2,1974,3,2705.69
1,2,1975,3,2687.54
1,2,1976,3,2708.12
1,2,1977,3,2692.06
1,2,1978,3,2715.86
1,2,1979,3,2719.64
1,2,1980,3,2679.1
1,2,1981,3,2637.04
1,2,1982,3,2600.84
1,2,1983,3,2576.63
1,2,1984,3,2595.11
1,2,1985,3,2612.47
1,2,1986,3,2562.3
1,2,1987,3,2804.83
1,2,1988,3,2549.58
1,2,1989,3,2385.44
1,2,1990,3,2587.86
1,2,1991,3,2823.96
1,2,1992,3,3057.77
1,2,1993,3,4561.18
1,2,1994,3,2612.47
1,2,1995,3,3349.81
1,2,1996,3,3045.76
1,2,1997,3,3284.42
1,2,1998,3,2034.98
1,2,1999,3,1452.4
1,2,2000,3,2440.21
1,2,2001,3,2866.1
1,2,2002,3,1145.44
1,2,2003,3,1669.36
1,2,2004,3,2981.59
1,2,2005,3,1677.09
1,2,2006,3,2199.1
1,2,2007,3,2617.22
1,2,2008,3,2957.76
1,2,2009,3,3859.03
1,2,2010,3,1778.69
1,2,2011,3,3831.26
1,2,2012,3,3604.43
1,2,2013,3,3347.95
1,2,2014,3,2410.67
1,2,2015,3,2804.94
1,2,2016,3,2328.9
1,2,2017,3,891.939
1,2,2018,3,1898.15
1,2,2019,3,1026.9
1,2,2020,3,1664.19
