Fleet,Fleet_Name,Area,Yr,Seas,Catch
16,16.EU.2C,2,2010,4,58.851
16,16.EU.2C,2,2011,1,299.668
16,16.EU.2C,2,2011,2,463.829
16,16.EU.2C,2,2011,3,278.746
16,16.EU.2C,2,2011,4,201.579
16,16.EU.2C,2,2012,1,388.032
16,16.EU.2C,2,2012,2,634.286
16,16.EU.2C,2,2012,3,366.735
16,16.EU.2C,2,2012,4,305.501
16,16.EU.2C,2,2013,1,357.173
16,16.EU.2C,2,2013,2,462.414
16,16.EU.2C,2,2013,3,379.413
16,16.EU.2C,2,2013,4,378.495
16,16.EU.2C,2,2014,1,367.457
16,16.EU.2C,2,2014,2,281.743
16,16.EU.2C,2,2014,3,291.637
16,16.EU.2C,2,2014,4,540.9
16,16.EU.2C,2,2015,1,804.665
16,16.EU.2C,2,2015,2,302.718
16,16.EU.2C,2,2015,3,175.923
16,16.EU.2C,2,2015,4,370.046
16,16.EU.2C,2,2016,1,178.566
16,16.EU.2C,2,2016,2,271.115
16,16.EU.2C,2,2016,3,132.88
16,16.EU.2C,2,2016,4,519.6
16,16.EU.2C,2,2017,1,224.192
16,16.EU.2C,2,2017,2,139.06
16,16.EU.2C,2,2017,3,182.685
16,16.EU.2C,2,2017,4,333.822
16,16.EU.2C,2,2018,1,187.149
16,16.EU.2C,2,2018,2,262.67
16,16.EU.2C,2,2018,3,231.664
16,16.EU.2C,2,2018,4,307.987
16,16.EU.2C,2,2019,1,158.907
16,16.EU.2C,2,2019,2,197.567
16,16.EU.2C,2,2019,3,299.553
16,16.EU.2C,2,2019,4,365.487
16,16.EU.2C,2,2020,1,317.032
16,16.EU.2C,2,2020,2,513.933
16,16.EU.2C,2,2020,3,237.198
16,16.EU.2C,2,2020,4,286.259
16,16.EU.2C,2,2021,1,195.046
16,16.EU.2C,2,2021,2,200.93
16,16.EU.2C,2,2021,3,506.673
16,16.EU.2C,2,2021,4,788.795
16,16.EU.2C,2,2022,1,294.154
16,16.EU.2C,2,2022,2,269.723
16,16.EU.2C,2,2022,3,511.9
16,16.EU.2C,2,2022,4,436.06
16,16.EU.2C,2,2023,1,489.301
16,16.EU.2C,2,2023,2,285.875
16,16.EU.2C,2,2023,3,343.436
16,16.EU.2C,2,2023,4,572.764
17,17.EU.2S,2,1952,1,0
17,17.EU.2S,2,1952,2,0
17,17.EU.2S,2,1952,3,0
17,17.EU.2S,2,1952,4,0
17,17.EU.2S,2,1953,1,0
17,17.EU.2S,2,1953,2,0
17,17.EU.2S,2,1953,3,0
17,17.EU.2S,2,1953,4,0
17,17.EU.2S,2,1954,1,0
17,17.EU.2S,2,1954,2,0
17,17.EU.2S,2,1954,3,0
17,17.EU.2S,2,1954,4,0
17,17.EU.2S,2,1955,1,0
17,17.EU.2S,2,1955,2,0
17,17.EU.2S,2,1955,3,0
17,17.EU.2S,2,1955,4,0
17,17.EU.2S,2,1956,1,0
17,17.EU.2S,2,1956,2,0
17,17.EU.2S,2,1956,3,0
17,17.EU.2S,2,1956,4,0
17,17.EU.2S,2,1957,1,0
17,17.EU.2S,2,1957,2,0
17,17.EU.2S,2,1957,3,0
17,17.EU.2S,2,1957,4,0
17,17.EU.2S,2,1958,1,0
17,17.EU.2S,2,1958,2,0
17,17.EU.2S,2,1958,3,0
17,17.EU.2S,2,1958,4,0
17,17.EU.2S,2,1959,1,0
17,17.EU.2S,2,1959,2,0
17,17.EU.2S,2,1959,3,0
17,17.EU.2S,2,1959,4,0
17,17.EU.2S,2,1960,1,0
17,17.EU.2S,2,1960,2,0
17,17.EU.2S,2,1960,3,0
17,17.EU.2S,2,1960,4,0
17,17.EU.2S,2,1961,1,0
17,17.EU.2S,2,1961,2,0
17,17.EU.2S,2,1961,3,0
17,17.EU.2S,2,1961,4,0
17,17.EU.2S,2,1962,1,0
17,17.EU.2S,2,1962,2,0
17,17.EU.2S,2,1962,3,0
17,17.EU.2S,2,1962,4,0
17,17.EU.2S,2,1963,1,0
17,17.EU.2S,2,1963,2,0
17,17.EU.2S,2,1963,3,0
17,17.EU.2S,2,1963,4,0
17,17.EU.2S,2,1964,1,0
17,17.EU.2S,2,1964,2,0
17,17.EU.2S,2,1964,3,0
17,17.EU.2S,2,1964,4,0
17,17.EU.2S,2,1965,1,0
17,17.EU.2S,2,1965,2,0
17,17.EU.2S,2,1965,3,0
17,17.EU.2S,2,1965,4,0
17,17.EU.2S,2,1966,1,0
17,17.EU.2S,2,1966,2,0
17,17.EU.2S,2,1966,3,0
17,17.EU.2S,2,1966,4,0
17,17.EU.2S,2,1967,1,0
17,17.EU.2S,2,1967,2,0
17,17.EU.2S,2,1967,3,0
17,17.EU.2S,2,1967,4,0
17,17.EU.2S,2,1968,1,0
17,17.EU.2S,2,1968,2,0
17,17.EU.2S,2,1968,3,0
17,17.EU.2S,2,1968,4,0
17,17.EU.2S,2,1969,1,0
17,17.EU.2S,2,1969,2,0
17,17.EU.2S,2,1969,3,0
17,17.EU.2S,2,1969,4,0
17,17.EU.2S,2,1970,1,0
17,17.EU.2S,2,1970,2,0
17,17.EU.2S,2,1970,3,0
17,17.EU.2S,2,1970,4,0
17,17.EU.2S,2,1971,1,0
17,17.EU.2S,2,1971,2,0
17,17.EU.2S,2,1971,3,0
17,17.EU.2S,2,1971,4,0
17,17.EU.2S,2,1972,1,0
17,17.EU.2S,2,1972,2,0
17,17.EU.2S,2,1972,3,0
17,17.EU.2S,2,1972,4,0
17,17.EU.2S,2,1973,1,0
17,17.EU.2S,2,1973,2,0
17,17.EU.2S,2,1973,3,0
17,17.EU.2S,2,1973,4,0
17,17.EU.2S,2,1974,1,0
17,17.EU.2S,2,1974,2,0
17,17.EU.2S,2,1974,3,0
17,17.EU.2S,2,1974,4,0
17,17.EU.2S,2,1975,1,0
17,17.EU.2S,2,1975,2,0
17,17.EU.2S,2,1975,3,0
17,17.EU.2S,2,1975,4,0
17,17.EU.2S,2,1976,1,0
17,17.EU.2S,2,1976,2,0
17,17.EU.2S,2,1976,3,0
17,17.EU.2S,2,1976,4,0
17,17.EU.2S,2,1977,1,0
17,17.EU.2S,2,1977,2,0
17,17.EU.2S,2,1977,3,0
17,17.EU.2S,2,1977,4,0
17,17.EU.2S,2,1978,1,0
17,17.EU.2S,2,1978,2,0
17,17.EU.2S,2,1978,3,0
17,17.EU.2S,2,1978,4,0
17,17.EU.2S,2,1979,1,0
17,17.EU.2S,2,1979,2,0
17,17.EU.2S,2,1979,3,0
17,17.EU.2S,2,1979,4,0
17,17.EU.2S,2,1980,1,0
17,17.EU.2S,2,1980,2,0
17,17.EU.2S,2,1980,3,0
17,17.EU.2S,2,1980,4,0
17,17.EU.2S,2,1981,1,0
17,17.EU.2S,2,1981,2,0
17,17.EU.2S,2,1981,3,0
17,17.EU.2S,2,1981,4,0
17,17.EU.2S,2,1982,1,0
17,17.EU.2S,2,1982,2,0
17,17.EU.2S,2,1982,3,0
17,17.EU.2S,2,1982,4,0
17,17.EU.2S,2,1983,1,0
17,17.EU.2S,2,1983,2,0
17,17.EU.2S,2,1983,3,0
17,17.EU.2S,2,1983,4,0
17,17.EU.2S,2,1984,1,0
17,17.EU.2S,2,1984,2,0
17,17.EU.2S,2,1984,3,0
17,17.EU.2S,2,1984,4,0
17,17.EU.2S,2,1985,1,0
17,17.EU.2S,2,1985,2,0
17,17.EU.2S,2,1985,3,0
17,17.EU.2S,2,1985,4,0
17,17.EU.2S,2,1986,1,0
17,17.EU.2S,2,1986,2,0
17,17.EU.2S,2,1986,3,0
17,17.EU.2S,2,1986,4,0
17,17.EU.2S,2,1987,1,0
17,17.EU.2S,2,1987,2,0
17,17.EU.2S,2,1987,3,0
17,17.EU.2S,2,1987,4,0
17,17.EU.2S,2,1988,1,0
17,17.EU.2S,2,1988,2,0
17,17.EU.2S,2,1988,3,0
17,17.EU.2S,2,1988,4,0
17,17.EU.2S,2,1989,1,0
17,17.EU.2S,2,1989,2,0
17,17.EU.2S,2,1989,3,0
17,17.EU.2S,2,1989,4,0
17,17.EU.2S,2,1990,1,0
17,17.EU.2S,2,1990,2,0
17,17.EU.2S,2,1990,3,0
17,17.EU.2S,2,1990,4,0
17,17.EU.2S,2,1991,1,0
17,17.EU.2S,2,1991,2,0
17,17.EU.2S,2,1991,3,0
17,17.EU.2S,2,1991,4,0
17,17.EU.2S,2,1992,1,0
17,17.EU.2S,2,1992,2,0
17,17.EU.2S,2,1992,3,0
17,17.EU.2S,2,1992,4,0
17,17.EU.2S,2,1993,1,0
17,17.EU.2S,2,1993,2,0
17,17.EU.2S,2,1993,3,0
17,17.EU.2S,2,1993,4,0
17,17.EU.2S,2,1994,1,0
17,17.EU.2S,2,1994,2,0
17,17.EU.2S,2,1994,3,0
